"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"512",368,103,5,3,NA,NA,NA,NA
"513",368,106,5,3,NA,NA,4,3
"514",368,107,5,1,NA,NA,NA,NA
"515",368,136,NA,NA,NA,NA,2,3
"516",368,5102,NA,NA,NA,NA,56,2
"517",371,102,25,2,35,3,10,2
"518",371,103,85,4,NA,NA,NA,NA
"519",371,117,NA,NA,NA,NA,1,1
"520",371,121,NA,NA,NA,NA,1,9
"521",371,155,NA,NA,NA,NA,3,2
"522",371,1103,NA,NA,50,4,1,3
"523",371,3155,NA,NA,15,3,NA,NA
"524",382,102,20,10,NA,NA,NA,NA
"525",382,106,10,5,10,5,6,4
"526",382,117,10,4,5,3,7,2
"527",382,1102,NA,NA,NA,NA,3,16
"528",382,2102,NA,NA,20,12,8,1
"529",384,102,75,8,NA,NA,NA,NA
"530",384,106,NA,NA,5,3,8,3
"531",384,107,NA,NA,5,1,3,1
"532",384,117,NA,NA,5,2,5,3
"533",384,136,NA,NA,2,4,5,3
"534",384,2102,NA,NA,20,7,35,14
"535",386,102,40,8,15,1,6,3
"536",386,106,40,6,40,4,5,3
"537",386,107,10,1,NA,NA,NA,NA
"538",386,117,10,4,5,2,NA,NA
"539",386,136,NA,NA,10,3,2,2
"540",386,2102,NA,NA,30,13,12,7
"541",386,8101,NA,NA,NA,NA,2,2
"542",398,102,20,4,25,1,15,2
"543",398,106,30,4,5,3,6,4
"544",398,107,15,1,NA,NA,2,1
"545",398,117,10,3,NA,NA,7,2
"546",398,119,5,15,5,15,NA,NA
"547",402,101,5,4,NA,NA,NA,NA
"548",402,102,10,2,30,1,20,1
"549",402,106,60,6,15,4,6,3
"550",402,107,30,1,15,1,3,1
"551",402,117,NA,NA,NA,NA,4,2
"552",402,2102,NA,NA,5,4,NA,NA
"553",402,8101,NA,NA,NA,NA,3,3
"554",404,106,30,4,15,6,24,5
"555",404,117,1,2,NA,NA,NA,NA
"556",404,2101,NA,NA,2,7,NA,NA
"557",404,8101,NA,NA,NA,NA,8,6
"558",407,102,NA,NA,3,1,NA,NA
"559",407,106,5,6,5,3,3,2
"560",407,129,1,1,NA,NA,NA,NA
"561",407,3121,NA,NA,5,20,NA,NA
"562",407,8101,NA,NA,NA,NA,2,3
"563",411,101,5,2,NA,NA,NA,NA
"564",411,106,20,5,25,5,35,4
"565",412,101,10,3,NA,NA,NA,NA
"566",412,106,60,7,70,5,65,4
"567",412,117,5,4,NA,NA,NA,NA
"568",418,102,NA,NA,30,1,20,2
"569",418,106,90,5,25,6,8,4
"570",418,107,NA,NA,2,1,10,1
"571",418,117,10,2,NA,NA,26,3
"572",418,119,NA,NA,NA,NA,1,10
"573",418,136,NA,NA,NA,NA,2,3
"574",418,2102,NA,NA,70,13,52,10
"575",424,102,30,5,NA,NA,NA,NA
"576",424,106,30,1,20,5,9,4
"577",424,107,30,1,30,2,17,2
"578",424,117,10,2,NA,NA,NA,NA
