"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"1036",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,1,2
"1037",486,"25",2,"6","4",1,60,4,0,2,1,80,4,0,2,28,28,30,NA,1,2
"1038",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,1,3
"1039",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,3,3
"1040",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,1,1
"1041",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,3,4
"1042",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,3,2
"1043",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,4,4
"1044",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,4,2
"1045",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,2,1
"1046",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,1,4
"1047",49,"42",2,"0","3",1,80,4,0,1,1,80,4,0,1,22,26,31,3,3,1
