"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
260,107,"Arctostaphylos uva-ursi",10,NA,4,1,NA,2
260,117,"Halimium spp.",5,10,1,1,2,2
260,136,"Chamaespartium tridentatum",NA,15,NA,NA,2,NA
260,5102,"Erica umbellata",NA,30,9,NA,2,2
267,102,"Erica spp.",70,25,20,10,1,1
267,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
267,106,"Calluna vulgaris",10,15,2,4,6,3
267,107,"Arctostaphylos uva-ursi",5,NA,NA,1,NA,NA
267,117,"Halimium spp.",5,15,1,2,2,2
267,119,"Rosa spp.",NA,1,2,NA,5,4
267,136,"Chamaespartium tridentatum",NA,5,1,NA,3,2
267,2102,"Erica australis",NA,40,50,NA,10,12
277,102,"Erica spp.",15,30,NA,3,2,NA
277,106,"Calluna vulgaris",20,NA,7,4,NA,3
277,107,"Arctostaphylos uva-ursi",20,NA,NA,1,NA,NA
277,117,"Halimium spp.",10,NA,1,2,NA,2
277,121,"Rubus spp.",NA,NA,1,NA,NA,3
277,136,"Chamaespartium tridentatum",NA,10,NA,NA,2,NA
277,166,"Rumex lunaria",NA,10,NA,NA,3,NA
277,182,"Lithodora sp.",NA,NA,3,NA,NA,2
277,5102,"Erica umbellata",NA,NA,45,NA,NA,2
280,102,"Erica spp.",30,20,30,6,1,4
280,104,"Other papilionoid shrubs (Ht<1.5m)",20,NA,NA,3,NA,NA
280,106,"Calluna vulgaris",5,NA,1,2,NA,3
280,107,"Arctostaphylos uva-ursi",10,NA,NA,1,NA,NA
280,117,"Halimium spp.",5,NA,6,2,NA,3
280,136,"Chamaespartium tridentatum",NA,NA,3,NA,NA,3
280,2102,"Erica australis",NA,5,NA,NA,8,NA
281,102,"Erica spp.",30,25,30,10,1,1
281,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,2,NA,NA
281,106,"Calluna vulgaris",15,5,4,3,4,4
281,107,"Arctostaphylos uva-ursi",15,5,5,1,1,1
281,117,"Halimium spp.",10,10,8,2,2,3
281,120,"Daboecia cantabrica",NA,10,10,NA,2,2
281,136,"Chamaespartium tridentatum",NA,5,3,NA,2,2
281,2102,"Erica australis",NA,25,30,NA,13,15
281,4101,"Cistus clusii",NA,7,NA,NA,2,NA
283,102,"Erica spp.",5,5,NA,2,1,NA
283,106,"Calluna vulgaris",5,NA,4,2,NA,6
283,107,"Arctostaphylos uva-ursi",5,NA,NA,1,NA,NA
283,117,"Halimium spp.",NA,NA,6,NA,NA,4
283,119,"Rosa spp.",5,NA,NA,3,NA,NA
283,3102,"Erica ciliaris",NA,NA,15,NA,NA,2
283,5102,"Erica umbellata",NA,NA,10,NA,NA,2
290,102,"Erica spp.",20,NA,NA,1,NA,NA
290,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,3,NA,NA
290,106,"Calluna vulgaris",20,40,20,1,5,4
290,107,"Arctostaphylos uva-ursi",15,NA,35,1,NA,1
290,136,"Chamaespartium tridentatum",NA,30,18,NA,2,3
