"ID","Estadillo","CoorX","CoorY","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"155",308,363877,4725797,3,11.351012903997,59.2150649647815,19.1691302048695,10.6784308785758,80.832843649416,13.210509981425,13.8649490077239,80.4077796685499,17.2432929560756
"156",308,363877,4725797,4,5.53437648745859,59.2150649647815,9.3462305424307,6.56487402223629,80.832843649416,8.12154283561904,7.13109292434844,80.4077796685499,8.86866041288993
"157",309,365914,4725803,2,8.90827323743262,8.90827323743262,100,15.811724932616,19.0876047600787,82.8376589486273,44.7888175869141,46.5800849067707,96.1544352625336
"158",309,365914,4725803,3,NA,NA,NA,3.27587982746276,19.0876047600787,17.1623410513727,1.79126731985667,46.5800849067707,3.84556473746636
"159",310,369891,4725818,2,24.9701530401665,39.4236650784646,63.3379798414699,56.8495143578174,62.0778179003634,91.577823255744,71.8014529850527,96.5737561163083,74.3488250561352
"160",310,369891,4725818,3,14.4535120382981,39.4236650784646,36.6620201585301,5.228303542546,62.0778179003634,8.422176744256,24.7723031312555,96.5737561163083,25.6511749438648
"161",312,371910,4725776,2,66.3006285846749,74.0824340908932,89.4957480788622,77.2497024719189,97.619634877661,79.1333655045216,84.4723048806261,84.4723048806261,100
"162",312,371910,4725776,3,7.7818055062183,74.0824340908932,10.5042519211378,20.3699324057421,97.619634877661,20.8666344954784,NA,NA,NA
"163",314,379922,4741791,2,NA,NA,NA,4.38452769625001,8.04123347154305,54.5255614299264,NA,NA,NA
"164",314,379922,4741791,3,3.20274639950625,3.20274639950625,100,3.65670577529305,8.04123347154305,45.4744385700736,9.26244800270862,16.5358986888138,56.0141796766962
"165",314,379922,4741791,4,NA,NA,NA,NA,NA,NA,7.27345068610518,16.5358986888138,43.9858203233038
"166",317,395892,4739813,2,55.7253899161135,65.9637568277788,84.4787995650459,182.954588480573,187.383055673512,97.636676818498,248.536468580527,248.536468580527,100
"167",317,395892,4739813,3,10.2383669116653,65.9637568277788,15.5212004349541,4.42846719293882,187.383055673512,2.36332318150196,NA,NA,NA
"168",323,392897,4737784,2,204.430004082874,254.003147169702,80.483256353628,228.28543465842,233.657436015985,97.7009071702741,160.035683059264,292.904239172697,54.6375441718706
"169",323,392897,4737784,3,47.2150467271564,254.003147169702,18.5883707557417,5.37200135756481,233.657436015985,2.29909282972587,132.868556113433,292.904239172697,45.3624558281294
"170",323,392897,4737784,4,2.35809635967124,254.003147169702,0.928372890630278,NA,NA,NA,NA,NA,NA
"171",324,393919,4737785,2,97.3245554057722,149.17174567494,65.243290520882,172.131888385365,177.294195678175,97.0882818396485,180.515088066804,200.088163217713,90.2177745868897
"172",324,393919,4737785,3,47.1816884087491,149.17174567494,31.6291052271807,5.16230729281056,177.294195678175,2.9117181603515,19.5730751509088,200.088163217713,9.78222541311034
"173",324,393919,4737785,4,2.44290069918215,149.17174567494,1.63764303228406,NA,NA,NA,NA,NA,NA
"174",324,393919,4737785,5,2.22260116123627,149.17174567494,1.48996121965318,NA,NA,NA,NA,NA,NA
"175",328,391892,4735793,2,9.00733600126851,53.9062611750405,16.7092575239461,63.9221319067361,94.1081516924771,67.9241178974786,76.4589448493231,108.135466121032,70.706630851108
"176",328,391892,4735793,3,41.2825402337901,53.9062611750405,76.582087746246,26.4407474677162,94.1081516924771,28.0961287541999,18.0808455237519,108.135466121032,16.7205507798105
"177",328,391892,4735793,4,3.61638493998193,53.9062611750405,6.70865472980786,3.74527231802482,94.1081516924771,3.97975334832149,NA,NA,NA
"178",328,391892,4735793,5,NA,NA,NA,NA,NA,NA,13.595675747957,108.135466121032,12.5728183690815
"179",329,393907,4735792,2,NA,NA,NA,8.13634446553477,12.4769835946778,65.2108292344429,3.08148107544483,27.4237857812147,11.2365269333297
"180",329,393907,4735792,3,3.14166125538971,3.14166125538971,100,4.34063912914298,12.4769835946778,34.7891707655571,24.3423047057699,27.4237857812147,88.7634730666703
"181",331,377904,4734780,2,35.168320791182,38.6938050061213,90.8887631640736,105.180459153481,115.404883934038,91.1403881430178,226.644201554145,252.31966867848,89.8242308026122
"182",331,377904,4734780,3,3.52548421493927,38.6938050061213,9.11123683592644,10.2244247805565,115.404883934038,8.85961185698217,25.6754671243356,252.31966867848,10.1757691973877
"183",338,385903,4733807,2,NA,NA,NA,15.7762019029955,21.8020817949568,72.3609885118623,NA,NA,NA
"184",338,385903,4733807,3,3.35156966577718,3.35156966577718,100,6.02587989196128,21.8020817949568,27.6390114881377,71.5549866566018,71.5549866566018,100
"185",345,399933,4732794,2,10.801358133183,10.801358133183,100,98.4253709241698,98.4253709241698,100,235.314200415798,237.653516012198,99.0156612720681
"186",345,399933,4732794,3,NA,NA,NA,NA,NA,NA,2.33931559639995,237.653516012198,0.984338727931917
"187",352,395886,4729801,2,4.86709307985176,11.4723919419714,42.4243967994648,26.8947554048592,37.2803475543436,72.1419116751921,87.1073548807606,87.1073548807606,100
