"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"183",385,-4.891905,42.641955,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"184",386,-4.879713,42.642156,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"185",387,-4.867522,42.642356,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"186",388,-4.891632,42.632955,"Villota del P�ramo",34245,"","","No se advierten daños"
"187",389,-4.879442,42.633156,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de importancia moderada causados por insectos","Se advierten daños en las hojas de importancia moderada por causas desconocida"
"188",391,-4.855063,42.633553,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños graves en el tronco causados por fuego"
"189",393,-4.879171,42.624155,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de importancia moderada por causa desconocida","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"190",394,-4.866984,42.624354,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"191",395,-4.891087,42.614953,"Villota del P�ramo",34245,"","Se advierten daños en el trinco de pequeña importancia por causas desconocidas","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"192",397,-4.866715,42.615353,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"193",398,-4.854528,42.615551,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"194",399,-4.890814,42.605953,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de importancia moderada por causas desconocida"
"195",400,-4.87863,42.606153,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños en el tronco de importancia moderada por causas desconocidas"
"196",401,-4.854261,42.60655,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"197",402,-4.890542,42.596952,"Villota del P�ramo",34245,"","","No se advierten daños"
"198",404,-4.89027,42.587951,"Villota del P�ramo",34245,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños graves en el tronco causados por fuego"
"199",406,-4.889998,42.578951,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"200",407,-4.889726,42.56995,"Villota del P�ramo",34245,"","","No se advierten daños"
"201",409,-4.876739,42.543148,"Villota del P�ramo",34245,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"202",410,-4.864567,42.543346,"Villota del P�ramo",34245,"","","Se advierten daños en el tronco de importancia moderada causados por nieve"
"203",411,-4.87647,42.534147,"Villota del P�ramo",34245,"","","No se advierten daños"
"204",412,-4.864299,42.534345,"Villota del P�ramo",34245,"Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños en la guía terminal de pequeña importancia por causas desconocidas","Se advierten daños en el tronco de pequeña importancia por causas desconocidas"
"205",413,-4.888369,42.524946,"Villota del P�ramo",34245,"","","No se advierten daños"
"206",414,-4.864031,42.525344,"Villota del P�ramo",34245,"","Se advierten daños en la guía terminal de pequeña importancia por causas desconocidas","Se advierten daños en el tronco de pequeña importancia por causas desconocidas"
"207",415,-4.888098,42.515945,"Villota del P�ramo",34245,"","","No se advierten daños"
"208",417,-4.863496,42.507342,"Santerv�s de la Vega",34169,"","Se advierten daños en la guía terminal de pequeña importancia por causas desconocidas","Se advierten daños en el tronco de pequeña importancia por causas desconocidas"
"209",418,-4.746104,42.662282,"Ayuela",34020,"","","No se advierten daños"
"210",419,-4.672924,42.663374,"Buenavista de Valdavia",34037,"","","No se advierten daños"
"211",422,-4.587543,42.66459,"Buenavista de Valdavia",34037,"","","No se advierten daños"
