"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
251,-4.785012,42.742728,"A","1",NA,NA,3405,"Guardo","Santibáñez de la Peña",34171,"","","Camporredondo","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
253,-4.687314,42.744209,"A","1",NA,NA,3405,"Guardo","Respenda de la Peña",34151,"","","Lomano","E.L.M. de Vega de Riacos","No","No"
254,-4.601823,42.745437,"A","4","A","1",3406,"Cervera","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
256,-4.565182,42.745944,"A","4C",NA,NA,3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
258,-4.796964,42.733536,"A","4","A","1",3405,"Guardo","Santibáñez de la Peña",34171,"","","Páramo","E.L.M. de Cornon de la Peña","No","No"
261,-4.577167,42.736774,"A","4C","A","1",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
262,-4.564956,42.736942,"A","4C","A","1",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
263,-4.78452548,42.72484493,NA,NA,"A","1",3405,"Guardo","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
264,-4.772288,42.724915,"A","1",NA,NA,3405,"Guardo","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
265,-4.576939,42.727772,"A","1",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Indiviso","Ayto. de Congosto de Valdavia","No","No"
268,-4.759825,42.716103,"A","1",NA,NA,3405,"Guardo","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
269,-4.576711,42.71877,"A","4",NA,NA,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"","","Indiviso","Ayto. de Congosto de Valdavia","No","No"
270,-4.564503,42.718938,"A","1",NA,NA,3403,"Saldaña-Valdavia","La Puebla de Valdavia",34140,"","","Indiviso","Ayto. de Congosto de Valdavia","No","No"
271,-4.832798,42.705953,"A","3E","A","1",3405,"Guardo","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
