"ID","IDmuni","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"164",34234,4,NA,NA,NA,NA,NA,NA,9.48797597927726,128.772588240753,7.36800906846614
"165",34245,2,35.1805211777899,37.2117928283994,94.5413228006062,110.043626139104,113.466793159611,96.9831111594985,85.8280631063888,179.483694464213,47.8194207906179
"166",34245,3,2.03127165060949,37.2117928283994,5.4586771993938,3.42316702050723,113.466793159611,3.01688884050149,73.7788853234085,179.483694464213,41.1061771063105
"167",34245,4,NA,NA,NA,NA,NA,NA,9.82711274846654,179.483694464213,5.47521198390864
"168",34245,5,NA,NA,NA,NA,NA,NA,10.0496332859489,179.483694464213,5.59919011916301
"169",34901,2,49.6600889748486,49.6600889748486,100,84.8103732693223,84.8103732693223,100,70.4898586194928,160.622896389948,43.8853116235453
"170",34901,3,NA,NA,NA,NA,NA,NA,79.3878945562046,160.622896389948,49.425017441768
"171",34901,4,NA,NA,NA,NA,NA,NA,10.7451432142501,160.622896389948,6.68967093468663
"172",34903,2,9.88836221239658,9.88836221239658,100,49.3061800431068,49.3061800431068,100,51.185384374231,95.9499788744815,53.3459047877332
"173",34903,3,NA,NA,NA,NA,NA,NA,40.2794635784394,95.9499788744815,41.9796481989138
"174",34903,4,NA,NA,NA,NA,NA,NA,4.48513092181109,95.9499788744815,4.67444701335305
