"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","DamageNFI2","DamageNFI2_EN"
1142,42.528347,-4.669316,"N","N","A","1",NA,NA
1143,42.529046,-4.620632,"N","N",NA,NA,NA,NA
1146,42.666215,-4.465561,"N","N","A","1",NA,NA
1148,42.650267,-4.294396,"N","N",NA,NA,NA,NA
1154,42.540333,-4.450435,"N","N",NA,NA,NA,NA
1156,42.531635,-4.425881,"N","N",NA,NA,NA,NA
1157,42.533086,-4.30415,"N","N",NA,NA,NA,NA
1158,42.523803,-4.328306,"N","N","A","1",NA,NA
1160,42.51363,-4.425472,"N","N","A","1",NA,NA
1161,42.504475,-4.437435,"N","N","A","1",NA,NA
1162,42.505796,-4.327925,"N","N",NA,NA,NA,NA
1164,42.479941,-4.887014,"N","N","A","1",NA,NA
