"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
77,42.8678215,-4.8501191,NA,NA,"A","4C",7102,NA,NA,NA,NA,NA,34,3
79,42.86912,-4.764167,"A","4","A","1",102,"Erica spp.",40,15,NA,NA,NA,NA
79,42.86912,-4.764167,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",60,15,NA,NA,NA,NA
79,42.86912,-4.764167,"A","4","A","1",136,"Chamaespartium tridentatum",NA,NA,3,5,NA,NA
79,42.86912,-4.764167,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,10,3,10,1
79,42.86912,-4.764167,"A","4","A","1",2102,"Erica australis",NA,NA,20,12,5,4
79,42.86912,-4.764167,"A","4","A","1",4104,"Cytisus spp.",NA,NA,3,18,NA,NA
80,42.869308,-4.75193,"A","4","A","1",102,"Erica spp.",NA,NA,NA,NA,2,3
80,42.869308,-4.75193,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",50,5,NA,NA,NA,NA
80,42.869308,-4.75193,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,NA,NA,1,1
80,42.869308,-4.75193,"A","4","A","1",4104,"Cytisus spp.",NA,NA,40,5,40,5
81,42.869864,-4.715219,NA,NA,NA,NA,102,"Erica spp.",45,10,NA,NA,NA,NA
81,42.869864,-4.715219,NA,NA,NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",40,11,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",102,"Erica spp.",80,13,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",10,10,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",106,"Calluna vulgaris",10,3,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,10,3,7,2
82,42.870047,-4.702981,"A","4","A","1",2102,"Erica australis",NA,NA,60,2,16,10
89,42.871971,-4.568364,"A","4","A","1",102,"Erica spp.",60,15,NA,NA,NA,NA
89,42.871971,-4.568364,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",20,15,NA,NA,NA,NA
89,42.871971,-4.568364,"A","4","A","1",119,"Rosa spp.",NA,NA,NA,NA,2,4
89,42.871971,-4.568364,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,20,3,19,2
89,42.871971,-4.568364,"A","4","A","1",1102,"Erica arborea",NA,NA,60,15,14,16
89,42.871971,-4.568364,"A","4","A","1",1555,"Genista florida",NA,NA,NA,NA,2,5
89,42.871971,-4.568364,"A","4","A","1",4104,"Cytisus spp.",NA,NA,10,20,NA,NA
91,42.872304,-4.543886,"A","1","A","1",102,"Erica spp.",90,15,NA,NA,NA,NA
91,42.872304,-4.543886,"A","1","A","1",106,"Calluna vulgaris",NA,NA,NA,NA,2,3
91,42.872304,-4.543886,"A","1","A","1",117,"Halimium spp.",NA,NA,3,3,5,3
91,42.872304,-4.543886,"A","1","A","1",120,"Daboecia cantabrica",NA,NA,NA,NA,2,3
91,42.872304,-4.543886,"A","1","A","1",136,"Chamaespartium tridentatum",NA,NA,15,5,15,3
91,42.872304,-4.543886,"A","1","A","1",137,"Vaccinium myrtillus",NA,NA,NA,NA,7,2
